event_id,event_date,event_type
E001,2024-11-01,job_negative
E002,2025-02-05,tech_positive
E003,2025-02-05,tech_positive
E004,2025-02-06,tech_positive
E005,2025-02-15,job_negative
E006,2025-03-10,policy
E007,2025-04-03,tech_positive
E008,2025-05-21,tech_positive
E009,2025-05-23,tech_positive
E010,2025-06-10,tech_positive
E011,2025-07-15,job_negative
E012,2025-07-28,tech_positive
E013,2025-08-08,tech_positive
E014,2025-08-11,tech_positive
E015,2025-09-01,report
E016,2025-09-24,tech_positive
E017,2025-09-24,tech_positive
E018,2025-09-24,tech_positive
E019,2025-09-30,tech_positive
E020,2025-10-15,tech_positive
E021,2025-10-15,tech_positive
E022,2025-10-16,tech_positive
E023,2025-10-17,tech_positive
E024,2025-10-28,tech_positive
E025,2025-11-13,tech_positive
E026,2025-11-13,tech_positive
E027,2025-11-23,tech_positive
E028,2025-12-15,tech_positive
E029,2025-12-22,tech_positive
E030,2025-12-22,tech_positive
E031,2025-12-23,tech_positive
E032,2026-01-15,job_negative
E033,2026-03-10,policy
