event_id,event_date,event_type,event_name,company,description,impact_level,media_coverage,social_media_heat,career_discussion,source_url,keywords,notes
E001,2024-11-01,job_negative,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,job_negative,历史事件
E002,2025-02-05,tech_positive,Gemini 2.0 Flash发布,谷歌DeepMind,Gemini 2.0 Flash是谷歌于2025年2月5日正式发布的多模态AI大模型，具有低延迟、高吞吐量的特性，支持文本、图像、音频、视频等多模态输入与输出，并拥有100万tokens的上下文窗口处理能力。该模型基于谷歌定制的第六代TPU Trillium硬件构建，训练和推理均采用100%算力支持。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Gemini;大模型发布;谷歌DeepMind,
E003,2025-02-05,tech_positive,Gemini 2.0 Pro发布,谷歌DeepMind,Gemini 2.0 Pro是谷歌于2025年2月5日发布的多模态大模型实验版本，目前是谷歌发布模型中最强的编码性能和处理复杂提示的能力的代表。该模型具有200万个tokens的上下文窗口处理能力，支持代码执行与Google搜索调用，显著提升了长文档分析和复杂任务处理能力。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Gemini;大模型发布;谷歌DeepMind,
E004,2025-02-06,tech_positive,Gemini 2.0 Pro全面发布,谷歌DeepMind,Gemini 2.0 Pro是谷歌于2025年2月6日正式全面发布的多模态大模型，在编码和复杂指令任务中表现最佳。该模型支持200万tokens上下文窗口，可一次性处理150万个英文单词的输入，在MMLU-Pro测试中得分为79.1%，数学测试为91.8%，多语言能力测试为86.5%。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Gemini;大模型发布;谷歌DeepMind,
E005,2025-02-15,job_negative,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,job_negative,历史事件
E006,2025-03-10,policy,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,policy,历史事件
E007,2025-04-03,tech_positive,Midjourney v7发布,Midjourney,"Midjourney v7是Midjourney于2025年4月3日正式启动Alpha测试的全新图像生成模型，被创始人兼首席执行官大卫·霍尔茨称为""我们迄今为止最智能、最美观、最连贯的模型""。该模型推出了""草稿模式""（Draft Mode），渲染速度提升10倍，成本减半，用户可通过语音输入""边思考边创作""，使创意流程更加流畅。",low,medium,微博热搜,引发职业替代讨论,https://example.com,Midjourney;多模态技术突破;Midjourney,
E008,2025-05-21,tech_positive,Google Veo 3发布,谷歌DeepMind,Google Veo 3是谷歌于2025年5月21日在I/O开发者大会上发布的第三代视频生成模型，作为首款支持音画同步生成的AI视频工具，该模型在视觉理解和音频生成能力上实现了重大突破。Veo 3通过V2A（Video-to-Audio）技术将视频的视觉信息编码为语义信号，结合文本提示输入扩散模型，生成与画面匹配的完整音轨。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Google;多模态技术突破;谷歌DeepMind,
E009,2025-05-23,tech_positive,Claude Sonnet 4发布,Anthropic,"Claude Sonnet 4是Anthropic公司推出的企业级大模型，定位为""全能主力""，在编程和逻辑推理能力上实现重大突破。该模型基于Claude Sonnet 3.7进行升级，在SWE-bench编码基准测试中获得72.7%的成绩，较前代提升10.4%，数学测试准确率达96.2%。支持200K tokens上下文窗口及混合推理引擎，可在近即时模式与扩展思考模式间切换。API定价为输入每百万",low,medium,微博热搜,引发职业替代讨论,https://example.com,Claude;大模型发布;Anthropic,
E010,2025-06-10,tech_positive,通义千问-Plus/Turbo更新,阿里云,通义千问-Plus/Turbo是阿里云于2025年6月10日宣布更新的模型，于6月23日正式上线。此次更新将通义千问-Plus和通义千问-Turbo升级为Qwen3系列Plus和Turbo模型，实现了思考模式和非思考模式的有效融合。,low,medium,微博热搜,引发职业替代讨论,https://example.com,通义千问-Plus/Turbo更新;大模型发布;阿里云,
E011,2025-07-15,job_negative,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,job_negative,历史事件
E012,2025-07-28,tech_positive,智谱GLM-4.5发布,智谱AI,智谱GLM-4.5是智谱AI于2025年7月28日发布的旗舰级原生智能体大模型，首次实现推理、编码和智能体能力的原生融合。该模型在12项行业标准基准评测中综合排名全球第三，国产及开源模型第一，API调用成本最低为输入0.8元/百万tokens，推理速度超100 tokens/秒。,low,medium,微博热搜,引发职业替代讨论,https://example.com,智谱GLM-4.5发布;大模型发布;智谱AI,
E013,2025-08-08,tech_positive,GPT-5正式发布,OpenAI,GPT-5是OpenAI于2025年8月8日凌晨1时正式发布的新一代大模型，整合了GPT系列的语言处理能力和o系列的深度推理功能，可实现子模型调度及复杂任务处理。该模型支持编码、写作、多模态输入及长上下文理解，提供自动切换响应模式与个性化交互选项。在基准测试中，GPT-5在LMArena竞技场全部细分类目位列第一，但在ARC-AGI-2测试中落后于Grok模型。,low,medium,微博热搜,引发职业替代讨论,https://example.com,GPT-5正式发布;大模型发布;OpenAI,
E014,2025-08-11,tech_positive,GLM-4.5V发布,智谱AI,GLM-4.5V是智谱AI于2025年8月11日正式发布的开源视觉推理模型，在41个公开视觉多模态榜单中综合效果达到同级别开源模型SOTA性能。该模型基于智谱新一代旗舰文本基座模型GLM-4.5-Air，采用视觉编码器、MLP适配器和语言解码器三部分架构，支持64K多模态长上下文，支持图像与视频输入。,low,medium,微博热搜,引发职业替代讨论,https://example.com,GLM-4.5V发布;多模态技术突破;智谱AI,
E015,2025-09-01,report,历史事件,多种,,medium,medium,社交媒体,职业影响讨论,,report,历史事件
E016,2025-09-24,tech_positive,通义千问AgentScope 1.0发布,阿里云,通义千问AgentScope 1.0是阿里云于2025年9月24日发布的多智能体框架，该框架新增两款开源智能体并全面强化核心能力，进一步推动多智能体技术从开发验证走向企业级规模化部署。,low,medium,微博热搜,引发职业替代讨论,https://example.com,通义千问AgentScope;AI应用/产品发布;阿里云,
E017,2025-09-24,tech_positive,Kimi K2发布,月之暗面,Kimi K2是月之暗面于2025年9月24日发布的万亿参数开源模型，采用MoE架构，总参数达1T，激活参数为32B，具备更强的代码能力与通用Agent任务处理能力。该模型支持256K tokens上下文长度，提供更高效的API服务，可应用于复杂编程任务和自动化办公场景。,low,medium,微博热搜,引发职业替代讨论,https://example.com,Kimi;AI应用/产品发布;月之暗面,
