AI 技术事件数据库（2024.10 — 2026.03）,,,,,,,,,,
论文《AI 技术事件与职业不安全感表达的关联》研究数据  |  构建日期：2026-03-30  |  版本：v2.0,,,,,,,,,,
,,,,,,,,,,
event_id,event_date,event_type,event_type_cn,event_name,event_description,impact_level,media_coverage,source_url,keywords,notes
E001,2024-10-08,tech_positive,技术突破（正面）,诺贝尔物理学奖授予AI研究者,2024年诺贝尔物理学奖授予Geoffrey Hinton和John Hopfield，表彰其在人工神经网络和机器学习领域的奠基性贡献。这是诺贝尔物理学奖首次颁发给AI领域研究者，引发全球对AI科学价值和社会影响的广泛关注。,high,high,https://www.nobelprize.org/prizes/physics/2024/summary/,诺贝尔奖;Hinton;神经网络;AI科学,原有事件
E002,2024-11-22,tech_positive,技术突破（正面）,GPT-4o 全面升级发布,OpenAI发布GPT-4o模型全面升级版，支持实时语音对话、视觉多模态交互，响应速度提升2倍。该模型在翻译、客服、设计等领域展现出强大替代潜力，引发职场对AI替代的广泛讨论。,high,high,https://openai.com/index/hello-gpt-4o,GPT-4o;OpenAI;多模态;AI发布,原有事件
E003,2024-12-11,tech_positive,技术突破（正面）,Google Gemini 2.0 发布,Google发布Gemini 2.0系列模型，引入原生多模态能力和Agent功能，标志着AI从对话助手向自主执行任务的转变。新模型在编程、数学推理和工具调用方面性能大幅提升。,high,high,https://blog.google/technology/ai/google-gemini-ai-update-december-2024/,Gemini 2.0;Google;AI Agent;多模态,原有事件
E004,2024-12-20,report_alarming,警示性报告,2024年全球深度伪造攻击激增,多家安全机构报告显示，2024年全球发生超过10.5万次深度伪造攻击，相当于每5分钟发生一次。AI换脸、语音克隆等技术被广泛用于电信诈骗，引发公众对AI安全威胁的深切担忧。,medium,medium,https://developer.cloud.tencent.com/article/2607781,深度伪造;AI诈骗;网络安全;换脸,原有事件
E005,2025-01-06,tech_negative,技术事故（负面）,香港AI换脸投资诈骗案,香港警方捣破利用Deepfake技术在社交平台诱骗投资虚拟货币的诈骗集团，涉案金额约3400万港元。诈骗者招募年轻人制作AI换脸视频冒充投资顾问，受害者遍布全球多个地区。,medium,medium,https://www.zhonglun.com/research/articles/55265.html,AI换脸;Deepfake;诈骗;香港,★新增
E006,2025-01-20,tech_positive,技术突破（正面）,DeepSeek-R1 横空出世,中国AI公司DeepSeek发布R1推理模型，以极低成本实现与OpenAI o1模型相当甚至更优的性能。该模型迅速超越ChatGPT成为美国iOS下载最多的免费应用，引发全球科技股震荡和'中国AI追赶'的广泛讨论。,high,high,https://api-docs.deepseek.com/news/news250120,DeepSeek-R1;中国AI;推理模型;低成本,原有事件
E007,2025-01-22,report_reassuring,安抚性报告,WEF《未来就业报告2025》,世界经济论坛发布《未来就业报告2025》，覆盖全球1000多家领先企业。报告预测到2030年AI将创造1.7亿新岗位、替代9200万岗位，实现净增7800万岗位，同时警告22%的现有岗位将受到重大影响。,high,high,https://www.weforum.org/publications/the-future-of-jobs-report-2025/digest,WEF;就业报告;净增就业;技能转型,原有事件
E008,2025-02-02,policy_restrictive,限制性政策,欧盟AI法案禁令条款生效,欧盟《人工智能法案》首批条款正式生效，禁止社交评分、实时远程生物识别（特定例外）、情感识别等不可接受的AI应用。违反禁令的企业最高可面临3500万欧元罚款，全球AI企业需调整合规策略。,high,medium,https://artificialintelligenceact.eu/implementation-timeline,欧盟AI法案;禁止条款;合规;监管,原有事件
E009,2025-02-03,job_negative,失业/裁员新闻,Klarna CEO公开称AI替代员工,Klarna CEO Sebastian Siemiatkowski接受《纽约时报》采访时公开表示AI已替代700名客服员工的工作，并警告'几乎所有工作都可以被AI替代'。此言论在全球引发强烈争议和职场恐慌。,medium,high,https://fortune.com/2025/02/03/klarna-ceo-ai-replacing-human-workers,Klarna;AI替代;客服;CEO言论,原有事件
E010,2025-02-15,job_negative,失业/裁员新闻,某互联网大厂AI部门裁员,某互联网大厂AI实验室宣布裁员约500人，占部门总人数30%，主要涉及算法工程师和数据标注岗位。此次裁员引发行业对AI岗位稳定性及'AI从业者是否安全'的广泛讨论。,medium,medium,,AI裁员;互联网;算法工程师;数据标注,原有事件
